index,square_area,square_in_use,bedroom,wc,num_floor,width,height,door,certificates,house_type,furniture_status,house_specific,price_m2,price_house
0,53.0,200.0,4.0,5.0,3.0,4.75,11.0,Đông Bắc,0,0,Nội thất đầy đủ,Hẻm xe hơi,11226000000.0,594978000000.0
1,45.0,60.0,2.0,2.0,1.0,22.5,22.5,,0,1,,"Hẻm xe hơi, Nở hậu",10889000000.0,490005000000.0
2,50.0,178.0,5.0,5.0,5.0,4.0,13.0,,0,2,,"Hẻm xe hơi, Nở hậu",200000000.0,10000000000.0
3,70.0,70.0,3.0,2.0,1.0,35.0,35.0,,0,2,,Hẻm xe hơi,7143000000.0,500010000000.0
4,80.0,80.0,3.0,2.0,1.0,5.5,14.6,,0,4,,Hẻm xe hơi,2063000000.0,165040000000.0
5,50.4,50.4,1.0,2.0,2.0,25.2,25.2,,0,2,,,96000000.0,4838400000.0
6,64.0,64.0,2.0,2.0,1.0,4.0,16.0,,0,2,,Hẻm xe hơi,50000000.0,3200000000.0
7,70.0,70.0,3.0,2.0,1.0,41.0,17.0,Đông Nam,0,4,,Hẻm xe hơi,6571000000.0,459970000000.0
8,40.0,40.0,3.0,3.0,1.0,4.0,10.0,,0,2,,"Hẻm xe hơi, Nở hậu",8875000000.0,355000000000.0
9,75.3,208.4,5.0,4.0,3.0,4.0,18.0,Đông Bắc,0,0,Hoàn thiện cơ bản,Hẻm xe hơi,11333000000.0,853374900000.0
10,75.0,300.0,4.0,5.0,4.0,5.0,15.0,Nam,0,0,,Hẻm xe hơi,116000000.0,8700000000.0
11,68.0,225.0,6.0,6.0,3.0,8.9,9.6,,0,2,,,9559000000.0,650012000000.0
12,120.5,120.5,3.0,2.0,1.0,5.22,23.0,Đông Nam,0,4,,Hẻm xe hơi,125000000.0,15062500000.0
13,40.0,40.0,2.0,1.0,1.0,4.0,10.0,Tây,0,2,,"Hẻm xe hơi, Nở hậu",75000000.0,3000000000.0
14,40.0,75.6,2.0,2.0,1.0,4.0,10.0,,0,2,,Hẻm xe hơi,775000000.0,31000000000.0
15,90.0,90.0,4.0,3.0,1.0,5.0,18.0,,0,1,Nội thất cao cấp,Hẻm xe hơi,944000000.0,84960000000.0
16,64.0,64.0,2.0,1.0,1.0,4.0,16.0,,0,2,,Hẻm xe hơi,3672000000.0,235008000000.0
17,79.0,222.0,7.0,3.0,2.0,5.0,17.0,Đông Bắc,0,1,Nội thất cao cấp,,27848000000.0,2199992000000.0
18,58.0,120.0,3.0,3.0,2.0,5.0,12.0,,0,2,,Hẻm xe hơi,9138000000.0,530004000000.0
