,project_name,apartment_code,block_name,block_code,square,square_area,square_in_use,bedroom,wc,num_floor,floor,width,height,door,balcony,certificates,house_type,estate_type,office_type,apartment_type,furniture_status,estate_status,apartment_specific,house_specific,_type,price_m2
0,[],[],[],[],[],53 m²,200 m²,4 phòng,5 phòng,[],[],4.75 m,11 m,['Đông Bắc'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],['Nội thất đầy đủ'],[],[],['Hẻm xe hơi'],[],"112,26 triệu/m²"
1,[],[],[],[],[],45 m²,60 m²,2 phòng,2 phòng,[],[],[],[],[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"108,89 triệu/m²"
2,[],[],[],[],[],50 m²,178 m²,5 phòng,5 phòng,5,[],4 m,13 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],200 triệu/m²
3,[],[],[],[],[],70 m²,[],3 phòng,[],[],[],[],[],[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],['Hẻm xe hơi'],[],"71,43 triệu/m²"
4,[],[],[],[],100 m²,[],[],[],[],[],[],[],[],[],[],['Đã có sổ'],[],[],['Mặt bằng kinh doanh'],[],[],[],[],[],[],"35,6 triệu/m²"
5,[],[],[],[],[],80 m2,[],[],[],[],[],5.5 m,14.6 m,[],[],['Đã có sổ'],[],['Đất thổ cư'],[],[],[],[],[],['Hẻm xe hơi'],[],"20,63 triệu/m2"
6,[],[],[],[],[],50.4 m²,[],1 phòng,2 phòng,2,[],[],[],[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],96 triệu/m²
7,[],[],[],[],[],64 m²,64 m²,2 phòng,2 phòng,[],[],4 m,16 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],['Hẻm xe hơi'],[],50 triệu/m²
8,[],[],[],[],[],70 m2,[],[],[],[],[],41 m,17 m,['Đông Nam'],[],['Đã có sổ'],[],['Đất thổ cư'],[],[],[],[],[],['Hẻm xe hơi'],[],"65,71 triệu/m2"
9,[],[],[],[],[],40 m²,[],3 phòng,3 phòng,[],[],4 m,10 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"88,75 triệu/m²"
10,[],[],[],[],[],75.3 m²,208.4 m²,5 phòng,4 phòng,3,[],4 m,18 m,['Đông Bắc'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],['Hoàn thiện cơ bản'],[],[],['Hẻm xe hơi'],[],"113,33 triệu/m²"
11,Khu dân cư Cityland Park Hills,[],[],[],[],75 m²,300 m²,4 phòng,5 phòng,[],[],5 m,15 m,['Nam'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],['Hẻm xe hơi'],[],116 triệu/m²
12,[],[],[],[],[],68 m²,225 m²,6 phòng,6 phòng,3,[],8.9 m,9.6 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],"95,59 triệu/m²"
13,[],[],[],[],[],120.5 m2,[],[],[],[],[],5.22 m,23 m,['Đông Nam'],[],['Đã có sổ'],[],['Đất thổ cư'],[],[],[],[],[],['Hẻm xe hơi'],[],"12,5 triệu/m2"
14,[],[],[],[],73 m²,[],[],[],[],[],[],[],[],[],[],['Đã có sổ'],[],[],['Mặt bằng kinh doanh'],[],[],[],[],[],[],"150,68 triệu/m²"
15,[],[],[],[],[],40 m²,40 m²,2 phòng,1 phòng,[],[],4 m,10 m,['Tây'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],75 triệu/m²
16,[],[],[],[],[],40 m²,75.6 m²,2 phòng,2 phòng,[],[],4 m,10 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],['Hẻm xe hơi'],[],"77,5 triệu/m²"
17,[],[],[],[],[],90 m²,90 m²,4 phòng,3 phòng,[],[],5 m,18 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"9,44 triệu/m²"
18,[],[],[],[],[],64 m²,64 m²,2 phòng,1 phòng,[],[],4 m,16 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],['Hẻm xe hơi'],[],"36,72 triệu/m²"
19,[],[],[],[],61 m²,[],[],1 phòng,1 phòng,[],[],[],[],[],[],[],[],[],[],['Chung cư'],[],['Đã bàn giao'],[],[],[],"31,15 triệu/m²"
20,[],[],[],[],[],79 m²,222 m²,7 phòng,3 phòng,[],[],5 m,17 m,['Đông Bắc'],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],['Nội thất cao cấp'],[],[],[],[],"278,48 triệu/m²"
21,LuxGarden,[],[],[],61 m²,[],[],2 phòng,2 phòng,[],[],[],[],[],[],['Đã có sổ'],[],[],[],['Chung cư'],['Nội thất đầy đủ'],['Đã bàn giao'],[],[],[],"32,79 triệu/m²"
22,[],[],[],[],[],58 m²,120 m²,3 phòng,3 phòng,[],[],5 m,12 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],['Hẻm xe hơi'],[],"91,38 triệu/m²"
23,[],[],[],[],[],20 m²,60 m²,2 phòng,3 phòng,3,[],4 m,5 m,['Đông'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],['Hẻm xe hơi'],[],185 triệu/m²
24,[],[],[],[],[],58.4 m²,[],4 phòng,4 phòng,[],[],4 m,14.6 m,[],[],[],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],"82,76 triệu/m²"
25,[],[],KDC Vĩnh Lộc 3,D3,[],48 m2,[],[],[],[],[],4 m,12 m,[],[],['Đã có sổ'],[],['Đất nền dự án'],[],[],[],[],[],['Mặt tiền'],[],"5,5 triệu/m2"
26,[],[],[],[],[],82 m2,[],[],[],[],[],5 m,17 m,['Nam'],[],['Đã có sổ'],[],['Đất thổ cư'],[],[],[],[],[],[],[],"31,71 triệu/m2"
27,[],20/1,[],[],60 m²,[],[],3 phòng,1 phòng,[],1,[],[],['Nam'],[],['Đã có sổ'],[],[],[],['Chung cư'],[],['Chưa bàn giao'],[],[],[],"58,33 triệu/m²"
28,[],[],[],[],[],115 m2,[],[],[],[],[],6 m,19 m,[],[],['Đã có sổ'],[],['Đất thổ cư'],[],[],[],[],[],['Mặt tiền'],[],"17,39 triệu/m2"
29,[],[],"A,B",[],60 m²,[],[],2 phòng,2 phòng,[],[],[],[],[],[],['Đã có sổ'],[],[],[],['Chung cư'],[],['Đã bàn giao'],[],[],[],25 triệu/m²
30,[],[],[],[],[],83 m²,[],4 phòng,5 phòng,[],[],[],[],[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],"90,24 triệu/m²"
31,[],[],[],[],[],44 m²,137 m²,6 phòng,4 phòng,5,[],3.1 m,14.4 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],['Nội thất đầy đủ'],[],[],['Hẻm xe hơi'],[],"180,68 triệu/m²"
32,[],[],[],[],[],175 m²,[],4 phòng,5 phòng,[],[],7 m,25 m,[],[],[],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],"42,86 triệu/m²"
33,[],[],[],[],[],80 m2,[],[],[],[],[],5 m,16 m,[],[],['Đã có sổ'],[],['Đất thổ cư'],[],[],[],[],[],['Mặt tiền'],[],"33,13 triệu/m2"
34,[],[],[],[],[],83 m²,[],4 phòng,[],[],[],[],[],[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],['Hẻm xe hơi'],[],"78,31 triệu/m²"
35,[],[],[],[],[],72 m²,134 m²,3 phòng,2 phòng,[],[],4.5 m,18 m,['Đông'],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],['Nội thất đầy đủ'],[],[],['Hẻm xe hơi'],[],50 triệu/m²
36,Vinhomes Grand Park (Vincity Quận 9),[],[],[],34 m²,[],[],1 phòng,1 phòng,[],[],[],[],[],[],['Đang chờ sổ'],[],[],[],['Chung cư'],['Nội thất đầy đủ'],['Đã bàn giao'],[],[],[],"45,59 triệu/m²"
37,[],[],[],[],[],50 m²,50 m²,4 phòng,[],4,[],[],[],[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"3,24 triệu/m²"
38,[],[],[],[],[],56.1 m²,150 m²,3 phòng,3 phòng,2,[],4 m,14 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"15,71 triệu/m²"
