,title,address,project_name,apartment_code,block_name,block_code,square,square_area,square_in_use,bedroom,wc,num_floor,floor,width,height,door,balcony,certificates,house_type,estate_type,office_type,apartment_type,status,furniture_status,estate_status,apartment_specific,house_specific,_type,price_m2,price_square
0,"Bán MT Gần Vạn Hạnh Mall Q10 SHR 70m2, 2 lầu","Đường Cư Xá Nguyễn Trung Trực, Phường 12, Quận 10, Tp Hồ Chí Minh",[],[],[],[],[],70 m²,70 m²,3 phòng,4 phòng,2,[],4.5 m,15.6 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],[],"54,29 triệu/m²","3,8 tỷ- 70 m2đ"
1,Nhà Bán Mặt Tiền Cao Thắng P11.Q10,"Đường Cao Thắng, Phường 11, Quận 10, Tp Hồ Chí Minh",[],[],[],[],[],39 m²,156 m²,6 phòng,5 phòng,[],[],3.1 m,15.5 m,[],[],[],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],[],"338,46 triệu/m²","13,2 tỷ- 39 m2đ"
2,Chính chủ bán nhà MT đường Bắc Hải giá 14 tỷ,"Đường Bắc Hải, Phường 7, Quận 10, Tp Hồ Chí Minh",[],[],[],[],[],86 m²,86 m²,2 phòng,2 phòng,[],[],35 m,245 m,['Đông Nam'],[],[],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],[],"162,79 triệu/m²",14 tỷ- 86 m2đ
3,nhà hẻm Bà Hạt Gần Chợ Nguyễn Tri Phương chính chủ,"Đường Bà Hạt, Phường 8, Quận 10, Tp Hồ Chí Minh",[],[],[],[],[],58.5 m²,[],2 phòng,2 phòng,1,[],4.5 m,13 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],['Nội thất cao cấp'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"18,97 triệu/m²","1,1 tỷ- 58.5 m2đ"
4,2 Mặt Tiền Lê Hồng Phong q10 ( 3.3×10) 4 lầu đẹp,"323, Đường Lê Hồng Phong, Phường 2, Quận 10, Tp Hồ Chí Minh",[],[],[],[],[],33 m²,162 m²,4 phòng,4 phòng,4,[],4 m,10 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],['Nội thất cao cấp'],[],[],[],[],"348,48 triệu/m²","11,5 tỷ- 33 m2đ"
5,"nhà MT LÊ HỒNG PHONG SIÊU VỊ TRÍ Q.10, 11.9 TỶ","Đường Lê Hồng Phong, Phường 2, Quận 10, Tp Hồ Chí Minh",[],[],[],[],[],37 m²,[],3 phòng,4 phòng,4,[],3.5 m,15 m,['Đông Bắc'],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],[],"321,62 triệu/m²","11,9 tỷ- 37 m2đ"
6,Nhà Mặt tiền đẹp 4 tầng ở ngay Quận 10,"Đường Tô Hiến Thành, Phường 15, Quận 10, Tp Hồ Chí Minh",[],[],[],[],[],30 m²,130 m²,3 phòng,4 phòng,4,[],3 m,10 m,['Tây Nam'],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],['Nội thất đầy đủ'],[],[],['Nở hậu'],[],320 triệu/m²,"9,6 tỷ- 30 m2đ"
7,Nhà nát Mặt tiền đường Lê Hồng Phong Quận 10,"Đường Lê Hồng Phong, Phường 1, Quận 10, Tp Hồ Chí Minh",[],[],[],[],[],90 m²,92 m²,3 phòng,2 phòng,[],[],4 m,25 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],['Nở hậu'],[],"233,33 triệu/m²",21 tỷ- 90 m2đ
8,KẸT TIỀN BÁN CĂN NHÀ 68M2 VẠN HẠNH-Q10-GẦN BV 115,"Đường Sư Vạn Hạnh, Phường 12, Quận 10, Tp Hồ Chí Minh",[],[],[],[],[],68 m²,68 m²,3 phòng,3 phòng,2,[],5 m,14 m,['Đông Nam'],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],['Nội thất đầy đủ'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"17,21 triệu/m²","1,17 tỷ- 68 m2đ"
9,Nhà đẹp 6 tầng Mặt tiền Nguyễn Tri Phương Quận 10,"Đường Nguyễn Tri Phương, Phường 5, Quận 10, Tp Hồ Chí Minh",[],[],[],[],[],33 m²,185 m²,5 phòng,4 phòng,6,[],3.5 m,12.5 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],['Nội thất đầy đủ'],[],[],[],[],"469,7 triệu/m²","15,5 tỷ- 33 m2đ"
