,title,address,project_name,apartment_code,block_name,block_code,square,square_area,square_in_use,bedroom,wc,num_floor,floor,width,height,door,balcony,certificates,house_type,estate_type,office_type,apartment_type,status,furniture_status,estate_status,apartment_specific,house_specific,_type,price_m2,price_square
0,Nhà 1 sẹt đường kinh dương vương Quận Bình Tân,"Đường Kinh Dương Vương, Phường An Lạc A, Quận Bình Tân, Tp Hồ Chí Minh",[],[],[],[],[],145 m²,60 m²,6 phòng,5 phòng,3,[],4 m,14 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất đầy đủ'],[],[],[],[],"50,34 triệu/m²","7,3 tỷ- 145 m2đ"
1,Định cư nước ngoài bán lại biệt thử khu tên lửa,"Đường Số 2, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",[],[],[],[],[],120 m²,120 m²,6 phòng,6 phòng,4,[],10 m,12 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"112,5 triệu/m²","13,5 tỷ- 120 m2đ"
2,"bán nhà gấp KDC Bình Tân, hẻm 8M, SHR","Đường Nguyễn Thị Tú, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",[],[],[],[],[],60 m²,190 m²,5 phòng,5 phòng,[],[],4.5 m,14 m,['Đông Bắc'],[],[],['Nhà biệt thự'],[],[],[],[],[],[],[],[],[],"33,33 triệu/m²",2 tỷ- 60 m2đ
3,Nhà 1 trệt 1 lầu ngang 4m dài 13m đường 12.F bhh,"Đường Số 12, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh",[],[],[],[],[],107 m²,107 m²,2 phòng,2 phòng,2,[],4 m,12.5 m,['Đông'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],36.448 đ/m²,"3,9 triệu- 107 m2đ"
4,"Biệt thự 7x20m Đường 17A nối dài, Bình trị Đông B","88, Đường 17A, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",[],88,A,[],[],140 m²,300 m²,6 phòng,4 phòng,3,[],7 m,20 m,['Tây Bắc'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"114,29 triệu/m²",16 tỷ- 140 m2đ
5,Biệt thự mini 6×14m lửng 4 lầu lê văn quới hẻm 8m,"', Đường Lê Văn Quới, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",[],[],[],[],[],84 m²,84 m²,6 phòng,6 phòng,4,[],6 m,14 m,['Nam'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"63,1 triệu/m²","5,3 tỷ- 84 m2đ"
6,"Cần bán nhà hẻm đường Cầu Kinh, Q Bình Tân","Đường Cầu Kinh, Phường Tân Tạo A, Quận Bình Tân, Tp Hồ Chí Minh",[],[],[],[],[],66 m²,66 m²,2 phòng,1 phòng,1,[],4 m,17 m,['Tây'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"48,48 triệu/m²","3,2 tỷ- 66 m2đ"
7,✨HÀNG ĐỘC✨ - BIỆT THỰ KIỂU PHÁP -Giá:15TỶ800,"Đường Hương lộ 80, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",[],[],[],[],[],240 m²,240 m²,5 phòng,5 phòng,3,[],15 m,16 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"65,83 triệu/m²","15,8 tỷ
GIÁ TỐT
- 240 m2đ"
8,"Bán biệt thự khu Tên Lửa,8x20m,3.5 tấm,giá 16.8 tỷ","Đường 5, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",[],[],[],[],[],160 m²,[],4 phòng,4 phòng,3,[],8 m,20 m,['Bắc'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Hoàn thiện cơ bản'],[],[],[],[],105 triệu/m²,"16,8 tỷ- 160 m2đ"
9,Nhà phố cao cấp chưa qua đầu tư đường 12m,"Đường Nguyễn Thị Tú, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",[],[],[],[],[],74 m²,300 m²,4 phòng,6 phòng,4,[],4 m,19 m,['Đông'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Hoàn thiện cơ bản'],[],[],['Hẻm xe hơi'],[],"95,95 triệu/m²","7,1 tỷ- 74 m2đ"
