,title,address,project_name,apartment_code,block_name,block_code,square,square_area,square_in_use,bedroom,wc,num_floor,floor,width,height,door,balcony,certificates,house_type,estate_type,office_type,apartment_type,status,furniture_status,estate_status,apartment_specific,house_specific,_type,price_m2,price_square
0,"căn nhà ngang 6,5 ngay lottemart GÒ VẤP","Đường Thống Nhất, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh",[],[],[],[],[],97 m²,350 m²,5 phòng,6 phòng,4,[],6.5 m,15 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"101,03 triệu/m²","9,8 tỷ- 97 m2đ"
1,Villa Nguyễn văn lượng Đối diện Lotter Mart. GV,"226, Nguyễn Văn Lượng, Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh",[],[],[],[],[],68 m²,188 m²,5 phòng,4 phòng,4,[],8 m,10 m,['Đông Nam'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Hoàn thiện cơ bản'],[],[],['Nở hậu'],[],"92,65 triệu/m²","6,3 tỷ- 68 m2đ"
2,"căn nhà ngang 6,5 ngay lottemart GÒ VẤP","Đường Thống Nhất, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh",[],[],[],[],[],97 m²,350 m²,5 phòng,6 phòng,4,[],6.5 m,15 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"101,03 triệu/m²","9,8 tỷ- 97 m2đ"
3,Nha dep 4 tang duong . Duong quang ham p6 gv,"Đường Dương Quảng Hàm, Phường 6, Quận Gò Vấp, Tp Hồ Chí Minh",[],[],[],[],[],80 m²,280 m²,5 phòng,5 phòng,4,[],4 m,20 m,['Tây Nam'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"93,75 triệu/m²","7,5 tỷ
GIÁ TỐT
- 80 m2đ"
4,Tôi CC cần tiền bán nhanh nhà HXH 854 thống nhất,"854/40/3f, Thống Nhât, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh",[],[],[],[],[],54 m²,121 m²,4 phòng,4 phòng,[],[],4 m,13 m,['Đông'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"92,59 triệu/m²",5 tỷ- 54 m2đ
5,Tôi CC cần tiền bán nhanh nhà HXH 854 thống nhất,"854/40/3f, Thống Nhât, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh",[],[],[],[],[],54 m²,121 m²,4 phòng,4 phòng,[],[],4 m,13 m,['Đông'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"92,59 triệu/m²",5 tỷ- 54 m2đ
6,Nhà mới xây 4x12 Trệt 3 lầu Phạm Văn Chiêu F9 GV.,"Đường Phạm Văn Chiêu, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh",[],[],[],[],[],48 m²,[],4 phòng,3 phòng,3,[],4 m,12 m,['Tây Nam'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"108,33 triệu/m²","5,2 tỷ- 48 m2đ"
7,Tôi CC cần tiền bán căn nhà phố tâm huyết mới đẹp,"380/88/1, Đường Phạm Văn Chiêu, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh",[],[],[],[],[],55 m²,160 m²,5 phòng,3 phòng,4,[],4 m,14 m,['Bắc'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"107,27 triệu/m²","5,9 tỷ- 55 m2đ"
8,"căn nhà ngang 6,5 ngay lottemart GÒ VẤP","Đường Thống Nhất, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh",[],[],[],[],[],97 m²,350 m²,5 phòng,6 phòng,4,[],6.5 m,15 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"101,03 triệu/m²","9,8 tỷ- 97 m2đ"
9,Nhà Phố 5x12 Trệt lửng 3 lầu Cây Trâm F9 GV.,"Đường Cây Trâm, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh",[],[],[],[],[],60 m²,[],4 phòng,5 phòng,4,[],5 m,12 m,['Tây Nam'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"114,17 triệu/m²","6,85 tỷ- 60 m2đ"
10,Nhà đs 28 p6(khu hoa phượng đỏ),"Đường Số 28, Phường 6, Quận Gò Vấp, Tp Hồ Chí Minh",[],[],Hoa phượng đỏ,[],[],56 m²,200 m²,5 phòng,5 phòng,[],[],4 m,14 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất đầy đủ'],[],[],['Hẻm xe hơi'],[],"114,29 triệu/m²","6,4 tỷ- 56 m2đ"
11,🛑BIỆT THỰ PHỐ 2020🔸ĐÚC 4.5 TẤM 🔸HẺM XE HƠI 6M,"Đường Quang Trung, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh",[],[],[],[],[],61 m²,200 m²,4 phòng,5 phòng,5,[],4 m,17 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất cao cấp'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"114,43 triệu/m²","6,98 tỷ- 61 m2đ"
12,"căn nhà ngang 6,5 ngay lottemart GÒ VẤP","Đường Thống Nhất, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh",[],[],[],[],[],97 m²,350 m²,5 phòng,6 phòng,4,[],6.5 m,15 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"101,03 triệu/m²","9,8 tỷ- 97 m2đ"
13,🌈Biệt Thự Phố Cao Cấp •1 Trục Lê Đức Thọ Phường 6,"Đường Số 28, Phường 6, Quận Gò Vấp, Tp Hồ Chí Minh",[],[],[],[],[],66 m²,240 m²,4 phòng,6 phòng,5,[],[],15 m,['Đông Bắc'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"126,52 triệu/m²","8,35 tỷ- 66 m2đ"
14,Tôi CC cần tiền bán căn nhà phố tâm huyết mới đẹp,"380/88/1, Đường Phạm Văn Chiêu, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh",[],[],[],[],[],55 m²,160 m²,5 phòng,3 phòng,4,[],4 m,14 m,['Bắc'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"107,27 triệu/m²","5,9 tỷ- 55 m2đ"
15,"Nhà 5x14m đúc 1lửng 1lầu 3PN4WC hẻm 3,5m QTrung P8","Đường Quang Trung, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh",[],[],[],[],[],60 m²,150 m²,3 phòng,4 phòng,3,[],5.5 m,14 m,['Đông Nam'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"75,83 triệu/m²","4,55 tỷ- 60 m2đ"
16,"căn nhà ngang 6,5 ngay lottemart GÒ VẤP","Đường Thống Nhất, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh",[],[],[],[],[],97 m²,350 m²,5 phòng,6 phòng,4,[],6.5 m,15 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"101,03 triệu/m²","9,8 tỷ- 97 m2đ"
17,Tôi CC cần tiền bán căn nhà phố tâm huyết mới đẹp,"380/88/1, Đường Phạm Văn Chiêu, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh",[],[],[],[],[],55 m²,160 m²,5 phòng,3 phòng,4,[],4 m,14 m,['Bắc'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"107,27 triệu/m²","5,9 tỷ- 55 m2đ"
18,Tôi CC cần tiền bán căn nhà phố tâm huyết mới đẹp,"380/88/1, Đường Phạm Văn Chiêu, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh",[],[],[],[],[],55 m²,160 m²,5 phòng,3 phòng,4,[],4 m,14 m,['Bắc'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"107,27 triệu/m²","5,9 tỷ- 55 m2đ"
19,"căn nhà ngang 6,5 ngay lottemart GÒ VẤP","Đường Thống Nhất, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh",[],[],[],[],[],97 m²,350 m²,5 phòng,6 phòng,4,[],6.5 m,15 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"101,03 triệu/m²","9,8 tỷ- 97 m2đ"
