,title,address,project_name,apartment_code,block_name,block_code,square,square_area,square_in_use,bedroom,wc,num_floor,floor,width,height,door,balcony,certificates,house_type,estate_type,office_type,apartment_type,status,furniture_status,estate_status,apartment_specific,house_specific,_type,price_m2,price_square
0,"Nhà Đường Hồ Biểu Chánh, Quận Phú Nhuận : T.kế đẹp","Đường Hồ Biểu Chánh, Phường 11, Quận Phú Nhuận, Tp Hồ Chí Minh",[],[],[],[],[],130 m²,[],3 phòng,4 phòng,4,[],[],[],['Đông Nam'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Nở hậu'],[],"44,62 triệu/m²","5,8 tỷ- 130 m2đ"
1,Nhà MT 6M 1761 Nguyễn Thượng Hiền 156M2 5 TẦNG,"=> Gọi 0833083123 & 0902187404, Xem Nhà Xu 13 Đức Thọ Hiền 4 42/44B Kiệm Đình 1277B Trần 136/24 Lê Nguyễn 608 Thượng, Phường 2, Quận Phú Nhuận, Tp Hồ Chí Minh",[],[],[],[],[],8765 m²,[],nhiều hơn 10 phòng,[],[],[],[],[],[],[],[],['Nhà phố liền kề'],[],[],[],[],[],[],[],[],['Cần mua'],570.450 đ/m²,5 tỷ- 8.765 m2đ
2,"Biệt thự đẹp đg Nguyễn Văn Trỗi, P.15, Phú Nhuận","Đường Cư xá Nguyễn Văn Trỗi, Phường 15, Quận Phú Nhuận, Tp Hồ Chí Minh",[],[],[],[],[],130 m²,350 m²,4 phòng,5 phòng,[],[],10 m,13 m,['Đông Nam'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"230,77 triệu/m²",30 tỷ- 130 m2đ
3,"Nhà mới xây 3 lầu 4x7m, ngay PXL giá: 3.39 tỷ","Đường Phan Xích Long, Phường 7, Quận Phú Nhuận, Tp Hồ Chí Minh",[],[],[],[],[],26 m²,99 m²,3 phòng,4 phòng,[],[],4 m,7 m,[],[],[],['Nhà phố liền kề'],[],[],[],[],[],[],[],[],[],"128,42 triệu/m²","3,339 tỷ
GIÁ TỐT
- 26 m2đ"
4,"Biệt Thự 270m2,mặt tiền Phú Nhuận,nhỉnh 230tr/m2","Đường Nguyễn Đình Chính, Phường 11, Quận Phú Nhuận, Tp Hồ Chí Minh",[],[],[],[],[],270 m²,270 m²,8 phòng,Nhiều hơn 6 phòng,4,[],8 m,36 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất cao cấp'],[],[],['Nở hậu'],[],"237,04 triệu/m²",64 tỷ- 270 m2đ
5,"Biệt Thự 270m2,mặt tiền Phú Nhuận,nhỉnh 230tr/m2","Đường Nguyễn Đình Chính, Phường 11, Quận Phú Nhuận, Tp Hồ Chí Minh",[],[],[],[],[],270 m²,270 m²,8 phòng,Nhiều hơn 6 phòng,4,[],8 m,36 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất cao cấp'],[],[],['Nở hậu'],[],"237,04 triệu/m²",64 tỷ- 270 m2đ
6,"Nhà đep 1 trệt 1 lầu, 40m2, nở hâu. .","20/36, Đường Cô Bắc, Phường 1, Quận Phú Nhuận, Tp Hồ Chí Minh",[],[],[],[],[],40 m²,78 m²,2 phòng,2 phòng,[],[],[],12 m,['Tây Bắc'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất đầy đủ'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],190 triệu/m²,"7,6 tỷ- 40 m2đ"
7,Nhà HXH 247A Huỳnh Văn Bánh DT;38m2 giá 10.4 tỷ.,"Đường Huỳnh Văn Bánh, Phường 12, Quận Phú Nhuận, Tp Hồ Chí Minh",[],[],[],[],[],38 m²,169 m²,6 phòng,4 phòng,[],[],3.4 m,11.5 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"273,68 triệu/m²","10,4 tỷ- 38 m2đ"
8,Biệt thự HXH gần Hoàng Văn Thụ 204m2 5L 23.7 tỷ,"Đường Hoàng Văn Thụ, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh",[],[],[],[],[],204 m²,[],8 phòng,Nhiều hơn 6 phòng,[],[],[],[],[],[],[],['Nhà biệt thự'],[],[],[],[],[],[],[],[],[],"116,18 triệu/m²","23,7 tỷ- 204 m2đ"
9,"Bán nhà HXH Cù Lao,Q. Phú Nhuận. DT: 7,6 x 21m","Đường Cù Lao, Phường 2, Quận Phú Nhuận, Tp Hồ Chí Minh",[],[],[],[],[],152 m²,152 m²,1 phòng,1 phòng,[],[],7.6 m,21 m,[],[],[],['Nhà biệt thự'],[],[],[],[],[],[],[],[],[],"164,47 triệu/m²",25 tỷ- 152 m2đ
