,title,address,project_name,apartment_code,block_name,block_code,square,square_area,square_in_use,bedroom,wc,num_floor,floor,width,height,door,balcony,certificates,house_type,estate_type,office_type,apartment_type,status,furniture_status,estate_status,apartment_specific,house_specific,_type,price_m2,price_square
0,"Biệt thự đường CMT8 , Tân Bình , 8,5x23,5m ,4 tầng","Đường Cách Mạng Tháng Tám, Phường 7, Quận Tân Bình, Tp Hồ Chí Minh",[],[],[],[],[],193 m²,[],5 phòng,6 phòng,4,[],8.5 m,23.5 m,['Đông Bắc'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"121,76 triệu/m²","23,5 tỷ- 193 m2đ"
1,"Nhà mới xây dựng 3,5 tầng","Đường Nguyễn Phúc Chu, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",[],[],[],[],[],36.2 m²,136 m²,4 phòng,3 phòng,4,[],3.65 m,10 m,['Tây Nam'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất đầy đủ'],[],[],['Hẻm xe hơi'],[],"126,39 triệu/m²","4,55 tỷ- 36.2 m2đ"
2,"Nhà MT Bùi Thị Xuận.P3.Tân Bình mới xây CHỈ 6,7tỷ","Đường Bùi Thị Xuân, Phường 1, Quận Tân Bình, Tp Hồ Chí Minh",[],[],[],[],[],45 m²,90 m²,2 phòng,3 phòng,[],[],4 m,12 m,[],[],[],['Nhà phố liền kề'],[],[],[],[],[],[],[],[],[],"148,89 triệu/m²","6,7 tỷ- 45 m2đ"
3,Nhà Biệt Thự HXH 6m Nguyễn Cảnh Dị.P4.Tân Bình,"Đường Nguyễn Cảnh Dị, Phường 4, Quận Tân Bình, Tp Hồ Chí Minh",[],[],[],[],[],83 m²,275 m²,6 phòng,Nhiều hơn 6 phòng,[],[],5.5 m,11 m,[],[],[],['Nhà biệt thự'],[],[],[],[],[],[],[],[],[],"204,82 triệu/m²",17 tỷ- 83 m2đ
4,Bán biệt thự Nguyễn Trọng Tuyển phường 1 Tân Bình,"Đường Nguyễn Trọng Tuyển, Phường 1, Quận Tân Bình, Tp Hồ Chí Minh",[],[],[],[],[],200 m²,[],4 phòng,[],2,[],[],[],[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],[],[],160 triệu/m²,32 tỷ- 200 m2đ
5,Nhà đẹp mới xây chưa ở,"Đường Cống Lở, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",[],[],[],[],[],80 m²,320 m²,6 phòng,Nhiều hơn 6 phòng,[],[],4 m,20 m,['Tây Bắc'],[],[],['Nhà phố liền kề'],[],[],[],[],[],[],[],[],[],"106,25 triệu/m²","8,5 tỷ- 80 m2đ"
6,"Bán nhà Nguyễn sỹ sách f15 6,450 ty 3 lầu nhà đẹp","Đường Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",[],[],[],[],[],56 m²,170 m²,4 phòng,5 phòng,[],[],4 m,14 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],[],[],"115,18 triệu/m²","6,45 tỷ- 56 m2đ"
7,CẦN BÁN QUẬN TÂN BÌNH,"277/3, Đường Trường Chinh, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh",[],[],[],[],[],64 m²,64 m²,5 phòng,4 phòng,4,[],8 m,8 m,['Tây'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"164,06 triệu/m²","10,5 tỷ
GIÁ TỐT
- 64 m2đ"
8,"Nhà 6.1x15m. 3 lầu mới xd 2018 chính chủ, CC Gấp","45/60, Đường Trần Thái Tông, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",[],[],[],[],[],95 m²,217 m²,4 phòng,4 phòng,3,[],6 m,15 m,['Tây Bắc'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"85,26 triệu/m²","8,1 tỷ- 95 m2đ"
9,"Nhà 1 trệt 3 lầu đường Cống Lở ,P.15, Tân Bình","Đường Cống Lở, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",[],[],[],[],[],49 m²,49 m²,5 phòng,4 phòng,3,[],3.5 m,14 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"101,02 triệu/m²","4,95 tỷ- 49 m2đ"
10,bán nhà hẻm 3.5m huỳnh văn nghệ cách hẻm xe h 5m,"Đường Huỳnh Văn Nghệ, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",[],[],[],[],[],40 m²,[],2 phòng,2 phòng,2,[],[],[],[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"88,75 triệu/m²","3,55 tỷ- 40 m2đ"
11,"GẤP LẮM MỚI BÁN NHÀ TRẦN MAI NINH TB, 1 TỶ 098TR","Đường Trần Mai Ninh, Phường 12, Quận Tân Bình, Tp Hồ Chí Minh",[],[],[],[],[],61 m²,[],4 phòng,4 phòng,2,[],6 m,10 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Hoàn thiện cơ bản'],[],[],['Hẻm xe hơi'],[],18 triệu/m²,"1,098 tỷ- 61 m2đ"
12,"Nhà MT Trần Mai Ninh P.12,TB,DT:4*16.5m giá 7,3 tỷ","Đường Trần Mai Ninh, Phường 12, Quận Tân Bình, Tp Hồ Chí Minh",[],[],[],[],[],57 m²,120 m²,3 phòng,3 phòng,[],[],4 m,16.5 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"128,07 triệu/m²","7,3 tỷ- 57 m2đ"
13,"Bán nhà 78 Đường Út Tịch, Phường 4, Tân Bình","78 út Tịch, Phường 4, Quận Tân Bình, Tp Hồ Chí Minh",[],[],[],[],[],269.9 m²,[],6 phòng,6 phòng,[],[],[],[],[],[],[],['Nhà biệt thự'],[],[],[],[],[],[],[],[],[],"330,86 triệu/m²",89 tỷ- 269.9 m2đ
