,title,address,project_name,apartment_code,block_name,block_code,square,square_area,square_in_use,bedroom,wc,num_floor,floor,width,height,door,balcony,certificates,house_type,estate_type,office_type,apartment_type,status,furniture_status,estate_status,apartment_specific,house_specific,_type,price_m2,price_square
0,Bán biệt thự mini 6x12 Nguyễn Sơn q. Tân Phú,"Đường Nguyễn Sơn, Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh",[],[],[],[],[],65 m²,250 m²,4 phòng,4 phòng,[],[],6 m,12 m,['Đông Nam'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"104,62 triệu/m²","6,8 tỷ
GIÁ TỐT
- 65 m2đ"
1,BÁN GẤP BIỆT THỰ Đ TRẦN QUANG CƠ (8X20-ĐÚC 4 TẤM),"Đường Trần Quang Cơ, Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",[],[],[],[],[],160 m²,160 m²,4 phòng,4 phòng,[],[],8 m,20 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"82,5 triệu/m²","13,2 tỷ- 160 m2đ"
2,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
3,Kẹt vốn cần bán nhà gấp Quận Tân Phú 55m² có SHR.,"Đường Tân Kỳ Tân Quý, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",[],[],[],[],[],55 m²,110 m²,2 phòng,2 phòng,1,[],5 m,11 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"23,64 triệu/m²","1,3 tỷ- 55 m2đ"
4,"Bán nhà HXH 72/51A Lê Trọng Tấn 90m2 2 lầu 5,9 tỷ","Đường Lê Trọng Tấn, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",[],123,[],[],[],90 m²,170 m²,4 phòng,5 phòng,4,[],6 m,15 m,['Đông Bắc'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất cao cấp'],[],[],['Nở hậu'],[],"65,56 triệu/m²","5,9 tỷ- 90 m2đ"
5,"Chính chủ bán nhà 97/26 Gò dầu130m2 4 lầu 8,4 tỷ","97/26F, Đường Gò Dầu, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",[],123,[],[],[],130 m²,520 m²,8 phòng,Nhiều hơn 6 phòng,4,[],5 m,26 m,['Đông Bắc'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"64,62 triệu/m²","8,4 tỷ- 130 m2đ"
6,BÁN GẤP BIỆT THỰ MINI ĐƯỜNG DƯƠNG ĐỨC HIỀN 6.4X10,"Đường Dương Đức Hiền, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",[],[],[],[],[],62 m²,124 m²,3 phòng,2 phòng,[],[],7 m,10 m,[],[],[],['Nhà biệt thự'],[],[],[],[],[],[],[],[],[],"104,84 triệu/m²","6,5 tỷ- 62 m2đ"
7,Bán nhà 69/55 Nguyễn Cửu Đàm (4x13.4 gồm 1 lầu ),"Đường Nguyễn Cửu Đàm, Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh",[],[],[],[],[],54 m²,54 m²,2 phòng,3 phòng,1,[],4 m,13.4 m,['Đông'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất đầy đủ'],[],[],['Hẻm xe hơi'],[],"96,3 triệu/m²","5,2 tỷ- 54 m2đ"
8,Nhà VIP Tân kỳ Tân quý. Tân Quý.Tân phú. Đúc 4 tấm,"Đường Tân Kỳ Tân Quý, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",[],[],[],[],[],61 m²,222 m²,5 phòng,6 phòng,4,[],4 m,15.5 m,['Tây'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất đầy đủ'],[],[],['Hẻm xe hơi'],[],"140,98 triệu/m²","8,6 tỷ- 61 m2đ"
9,Biệt Thự Mini Nguyễn Sơn 5.3*12m 1 trệt 2 lầu+ ST,"Đường Nguyễn Sơn, Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh",[],[],[],[],[],63.6 m²,150 m²,4 phòng,5 phòng,3,[],5.3 m,12 m,['Đông'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất cao cấp'],[],[],[],[],"108,73 triệu/m²","6,85 tỷ- 63.6 m2đ"
10,"Bán Biệt Thu đường Khuông Việt, Phú Trung, Quận TB","Đường Khuông Việt, Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",[],[],[],[],[],244 m²,376 m²,5 phòng,5 phòng,3,[],7.3 m,26.36 m,['Tây Nam'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Bàn giao thô'],[],[],['Hẻm xe hơi'],[],"81,97 triệu/m²",20 tỷ- 244 m2đ
11,"Bán Nhà Phố Sổ Riêg 40m2,Đường Tây Thạnh Q.Tân Phú","Đường Tây Thạnh, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",[],[],[],[],[],40 m²,[],3 phòng,3 phòng,[],[],4 m,10 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],25 triệu/m²,1 tỷ- 40 m2đ
12,NHÀ HẺM 170 VƯỜN LÀI 4X20M GIÁ 6.9 TỶ GẦN TÂN HƯƠG,"vườn lài, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh",[],[],[],[],[],80 m²,80 m²,1 phòng,3 phòng,[],[],4 m,20 m,['Đông'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],[],[],"86,25 triệu/m²","6,9 tỷ- 80 m2đ"
13,Nhà bán 52/31 thoai ngọc hầu p hòa thạnh tân phú H,"Đường Thoại Ngọc Hầu, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",[],[],[],[],[],64 m²,188 m²,4 phòng,4 phòng,[],[],4 m,16 m,['Đông Bắc'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],125 triệu/m²,8 tỷ- 64 m2đ
14,"Bán nhà hẻm xe hơi đường Gò Dầu,DT:5x17m vuông vức","Đường Gò Dầu, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",[],[],[],[],[],85 m²,85 m²,2 phòng,1 phòng,1,[],5 m,17 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],80 triệu/m²,"6,8 tỷ- 85 m2đ"
