,title,address,project_name,apartment_code,block_name,block_code,square,square_area,square_in_use,bedroom,wc,num_floor,floor,width,height,door,balcony,certificates,house_type,estate_type,office_type,apartment_type,status,furniture_status,estate_status,apartment_specific,house_specific,_type,price_m2,price_square
0,Bán nhà 1 trệt 1 lầu. 58m2. Phường Bình Chiểu Thủ,"185/26, Đường Ngô Chí Quốc, Phường Bình Chiểu, Quận Thủ Đức, Tp Hồ Chí Minh",[],[],[],[],[],58 m²,100 m²,2 phòng,2 phòng,[],[],4 m,14 m,['Tây Nam'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Hoàn thiện cơ bản'],[],[],['Hẻm xe hơi'],[],"56,03 triệu/m²","3,25 tỷ- 58 m2đ"
1,"Bán Biệt thự Linh Đông, P Linh Đông, Q TĐ DT 176m2","đường linh đông quận thủ đức, Phường Linh Đông, Quận Thủ Đức, Tp Hồ Chí Minh",[],[],[],[],[],176 m²,85 m²,4 phòng,5 phòng,[],[],8 m,22 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"42,61 triệu/m²","7,5 tỷ- 176 m2đ"
2,"Nhà 2 lầu 85m2 đất, sàn 140m2 ngay TT Linh Chiểu","Đường Kha Vạn Cân, Phường Linh Chiểu, Quận Thủ Đức, Tp Hồ Chí Minh",[],[],[],[],[],85 m²,140 m²,2 phòng,2 phòng,2,[],5.5 m,15.5 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"56,47 triệu/m²","4,8 tỷ- 85 m2đ"
3,NHÀ 3.5 TẤM_4.3X16_GẦN CẦU TRƯỜNG THỌ_PHẠM V ĐỒNG,"Đường Phạm Văn Đồng, Phường Trường Thọ, Quận Thủ Đức, Tp Hồ Chí Minh",[],[],[],[],[],66 m²,199 m²,4 phòng,4 phòng,4,[],4.3 m,16 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"80,3 triệu/m²","5,3 tỷ- 66 m2đ"
4,"GẤP, Nhà ĐẸP 1 TRỆT 2 LẦU, P.HBP, Thủ Đức","21/3, Đường Số 2, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh",[],[],[],[],[],50 m²,142 m²,4 phòng,3 phòng,[],[],4 m,11 m,['Đông Bắc'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất đầy đủ'],[],[],['Hẻm xe hơi'],[],110 triệu/m²,"5,5 tỷ- 50 m2đ"
5,"NHÀ QUỐC LỘ 13, HBP, THỦ ĐỨC","Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh",[],[],[],[],[],30 m²,90 m²,4 phòng,3 phòng,3,[],3 m,10 m,['Tây Bắc'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Hoàn thiện cơ bản'],[],[],['Hẻm xe hơi'],[],"58,33 triệu/m²","1,75 tỷ- 30 m2đ"
6,"Nhà vị trí siêu đẹp PVĐ vào chỉ 200m, Hẻm rộng 8m","Đường Số 22, Phường Linh Đông, Quận Thủ Đức, Tp Hồ Chí Minh",[],[],[],[],[],58 m²,100 m²,2 phòng,2 phòng,[],[],4 m,15 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"87,93 triệu/m²","5,1 tỷ- 58 m2đ"
7,"Biệt Thự KDC Điện Ảnh Đường 25 Phạm Văn Đồng, SHR","Đường Số 25, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh",[],[],khu dân cư Điện Ảnh,[],[],180 m²,180 m²,6 phòng,Nhiều hơn 6 phòng,3,[],9 m,20 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất đầy đủ'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"77,78 triệu/m²",14 tỷ- 180 m2đ
8,"Biết Thự Bên Sông, Đường Số 25, HBC, Thủ Đức","đường số 25, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh",[],[],[],[],[],123 m²,315 m²,5 phòng,6 phòng,3,[],7 m,17.7 m,['Đông Nam'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất cao cấp'],[],[],[],[],"105,69 triệu/m²",13 tỷ- 123 m2đ
9,"Xây mới 1T2L, sân ô tô, 3PN, sổ hồng riêng,ở ngay","Đường Số 12, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh",[],[],[],[],[],71.5 m²,163.42 m²,3 phòng,3 phòng,3,[],4 m,17.84 m,['Tây Nam'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Hoàn thiện cơ bản'],[],[],['Hẻm xe hơi'],[],"70,42 triệu/m²",5 tỷ- 71.5 m2đ
10,"Nhà C4 mới tinh, 68m2 đất Phạm Văn Đồng vào 100m","Đường Linh Đông, Phường Linh Đông, Quận Thủ Đức, Tp Hồ Chí Minh",[],[],[],[],[],68 m²,68 m²,2 phòng,1 phòng,[],[],4 m,17 m,['Tây'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"67,65 triệu/m²","4,6 tỷ- 68 m2đ"
11,"BÁN NHÀ NGAY CHỢ HIỆP BÌNH, PHƯỜNG HIỆP BÌNH CHÁNH","HẺM 9, ĐƯỜNG 36, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh",[],[],[],[],[],46 m²,46 m²,2 phòng,2 phòng,[],[],4.5 m,10.2 m,['Tây Nam'],[],[],['Nhà phố liền kề'],[],[],[],[],[],[],[],[],[],"76,09 triệu/m²","3,5 tỷ- 46 m2đ"
12,Biệt Thự mini ngang 7 SHR ngay Ngã 4 Bình Phước,"đường số 10, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh",[],[],[],[],[],64 m²,180 m²,3 phòng,4 phòng,3,[],4.35 m,15 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất cao cấp'],[],[],[],[],"83,13 triệu/m²","5,32 tỷ- 64 m2đ"
13,bán nhà dĩ an 1trệt4x14m= 54m thổ cưsổ hồng riêng,"911/, Dt743b, Phường Bình Chiểu, Quận Thủ Đức, Tp Hồ Chí Minh",[],[],[],[],[],54 m²,54 m²,2 phòng,1 phòng,[],[],4 m,14 m,['Đông'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Nở hậu'],[],"27,78 triệu/m²","1,5 tỷ- 54 m2đ"
14,"Biệt thự Siêu Sang JAMONA,HBP,Q Thủ Đức,DTSD 225m2","Đường số 12, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh",[],[],[],[],[],133 m²,225 m²,4 phòng,4 phòng,[],[],6.5 m,20.5 m,['Đông Nam'],[],[],['Nhà biệt thự'],[],[],[],[],[],[],[],[],[],"90,23 triệu/m²",12 tỷ- 133 m2đ
15,NHÀ 3.5 LẦU_4.3X15M_6CC/CẦU TRƯỜNG THỌ_PHẠM V ĐỒNG,"phạm văn đồng, Phường Trường Thọ, Quận Thủ Đức, Tp Hồ Chí Minh",[],[],[],[],[],63 m²,188 m²,4 phòng,4 phòng,3,[],4.3 m,15 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"84,13 triệu/m²","5,3 tỷ- 63 m2đ"
16,🔴🔴Bán Nhà chính chủ 70m*3 lầu D11 - HBC- Thủ Đức,"D9, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh",[],[],[],[],[],70 m²,[],3 phòng,4 phòng,[],[],[],[],[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],100 triệu/m²,"7 tỷ
GIÁ TỐT
- 70 m2đ"
17,NHÀ 3 LẦU_4X14M_4KS/CẦU ÔNG DẦU_QUỐC LỘ 13_ĐH LUẬT,"Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh",[],[],[],[],[],56 m²,188 m²,4 phòng,4 phòng,3,[],4 m,14 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"91,96 triệu/m²","5,15 tỷ- 56 m2đ"
18,"Bán nhà 4*14m trệt 3 lầu đường số 12 giá 6,25 tỷ","Đường 12, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh",[],[],[],[],[],56 m²,178 m²,4 phòng,5 phòng,3,[],4 m,14 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất đầy đủ'],[],[],['Hẻm xe hơi'],[],"110,71 triệu/m²","6,2 tỷ- 56 m2đ"
19,Bán biệt thự 10*20m trệt 2 lầu đường 25 bên sông,"Đường Số 10, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh",[],[],[],[],[],200 m²,295 m²,5 phòng,5 phòng,[],[],10 m,20 m,['Tây Nam'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],120 triệu/m²,24 tỷ- 200 m2đ
20,"Nhà 1 trệt 1 lầu đường 8 linh đông, sổ hồng riêng","Đường Số 8, Phường Linh Đông, Quận Thủ Đức, Tp Hồ Chí Minh",[],[],[],[],[],52 m²,120 m²,3 phòng,3 phòng,[],[],4 m,13 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"76,92 triệu/m²",4 tỷ- 52 m2đ
21,Nhà hoàn thiện nội thất cao cấp Vạn Phúc,"Khu phố 5, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh",Vạn Phúc Riverside City,[],[],[],[],103 m²,380 m²,4 phòng,4 phòng,4,[],5 m,21 m,['Tây Nam'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất cao cấp'],[],[],[],[],"126,21 triệu/m²",13 tỷ- 103 m2đ
22,Bán biệt thự trệt 2 lầu 9*20m ngay khu bên sông,"Đường Số 10, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh",[],[],[],[],[],174 m²,336 m²,4 phòng,4 phòng,[],[],9 m,20 m,['Đông Nam'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất đầy đủ'],[],[],['Hẻm xe hơi'],[],"80,46 triệu/m²",14 tỷ- 174 m2đ
