title,address,square_area,square_in_use,bedroom,wc,num_floor,width,height,door,certificates,house_type,furniture_status,house_specific,price_m2,price_square,location,in_centroid
MT TRẦN HƯNG ĐẠO . PHƯỜNG NGUYỄN CƯ TRINH . QUẬN 1,"Đường Trần Hưng Đạo, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",2,1,2,2,1,0,2,,0,1,0,0,4,1,0,1
"Bán nhà chính chủ, hẻm xe hoi tới nhà","88/89, Nguyễn Van Quy, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",2,2,1,1,0,0,2,Tây Nam,0,1,3,1,2,1,0,1
"Bán Nhà Nguyễn Trãi , 5 lầu 19P Thu Nhập 120tr/th","Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",3,2,2,2,1,2,1,,0,2,3,1,0,4,0,1
Bán khách sạn mặt tiền đường NGUYỄN AN NINH P BẾN,"34, Đường Nguyễn An Ninh, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",3,3,2,2,1,0,2,,0,1,3,2,4,3,0,1
DO CHUYỂN NHÀ RA HÀ NỘI BÁN GẤP TRẦN ĐÌNH XU Q.1,"Đường Trần Đình Xu, Phường Cô Giang, Quận 1, Tp Hồ Chí Minh",1,1,1,1,0,1,1,,0,2,3,0,1,4,0,1
"Nhà hẻm 18A Nguyễn Thị Minh Khai, P.ĐK, Q.1, 4,7tỷ","Đường Nguyễn Thị Minh Khai, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",0,0,1,1,0,1,0,,3,2,3,1,4,1,0,1
"NHÀ HẺM 214B NGUYỄN TRÃI 3,7 x 13 TRỆT 1 LẦU 2PN","nguyễn trãi, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",0,1,0,1,0,0,1,,0,2,3,0,1,2,0,1
"Nhà hẻm Nguyễn Bỉnh Khiêm,P.ĐK, Q.1, 28m2, 3,6tỷ","Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",0,0,0,0,0,2,0,,3,2,3,1,3,1,0,1
CHUYỂN NHÀ BÁN GẤP NGUYỄN BỈNH KHIÊM P.ĐA KAO Q.1,"Đường Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",1,2,2,1,0,1,1,,0,2,3,0,1,3,0,1
"NHÀ VỊ TRÍ ĐẸP NGAY MẠC THỊ BƯỞI,Q1,32m2,CHỈ 984tr","Đường Mạc Thị Bưởi, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",0,0,0,0,0,0,0,,0,2,3,1,1,0,0,1
